tourney_name,tourney_date,winner_id,winner_name,winner_ioc
Hilversum,1974-07-21,100282.0,Guillermo Vilas,ARG
Kitzbuhel,1974-07-21,100332.0,Balazs Taroczy,HUN
Jakarta,1974-11-03,100135.0,Onny Parun,NZL
Denver WCT,1974-04-22,100255.0,Roscoe Tanner,USA
Dusseldorf,1974-07-09,100170.0,Bernard Mignot,BEL
Louisville,1974-08-05,100282.0,Guillermo Vilas,ARG
Beckenham,1974-06-10,100321.0,Vijay Amritraj,IND
Roland Garros,1974-06-03,100437.0,Bjorn Borg,SWE
Nottingham,1974-06-17,100126.0,Stan Smith,USA
Paris Indoor,1974-10-28,100261.0,Brian Gottfried,USA
Lacosta WCT,1974-03-03,100087.0,John Newcombe,AUS
Baltimore,1974-02-03,100272.0,Sandy Mayer,USA
South Orange,1974-08-25,100092.0,Alex Metreveli,RUS
Bretton Woods,1974-08-05,100029.0,Rod Laver,AUS
Indianapolis,1974-08-05,100284.0,Jimmy Connors,USA
Washington,1974-07-23,100286.0,Harold Solomon,USA
Boston,1974-08-26,100437.0,Bjorn Borg,SWE
Rome,1974-05-26,100437.0,Bjorn Borg,SWE
Hamburg,1974-05-20,100232.0,Eddie Dibbs,USA
Las Vegas,1974-05-13,100029.0,Rod Laver,AUS
Atlanta WCT,1974-03-31,100229.0,Dick Stockton,USA
Chicago,1974-07-22,100126.0,Stan Smith,USA
Monte Carlo WCT,1974-04-08,100173.0,Andrew Pattison,USA
Buenos Aires,1974-11-24,100282.0,Guillermo Vilas,ARG
Toronto WCT,1974-02-17,100084.0,Tom Okker,NED
Madrid,1974-10-13,100119.0,Ilie Nastase,ROU
Munich,1974-05-15,100161.0,Jurgen Fassbender,GER
Tempe,1974-03-27,100284.0,Jimmy Connors,USA
Sao Paulo WCT,1974-03-17,100437.0,Bjorn Borg,SWE
Little Rock,1974-02-10,100284.0,Jimmy Connors,USA
Bournemouth,1974-05-26,100119.0,Ilie Nastase,ROU
Adelaide,1974-12-07,100437.0,Bjorn Borg,SWE
Washington,1974-04-07,100321.0,Vijay Amritraj,IND
Tehran,1974-10-27,100282.0,Guillermo Vilas,ARG
London,1974-11-16,100284.0,Jimmy Connors,USA
Hempstead WCT,1974-02-18,100126.0,Stan Smith,USA
Columbus,1974-08-19,100309.0,Raul Ramirez,MEX
Australian Open,1973-12-26,100284.0,Jimmy Connors,USA
Manchester,1974-06-03,100284.0,Jimmy Connors,USA
Houston,1974-04-15,100029.0,Rod Laver,AUS
London WCT,1974-02-18,100437.0,Bjorn Borg,SWE
Cincinnati,1974-07-31,100060.0,Marty Riessen,USA
Los Angeles,1974-09-17,100284.0,Jimmy Connors,USA
Montreal / Toronto,1974-08-12,100282.0,Guillermo Vilas,ARG
Johannesburg WCT,1974-04-15,100173.0,Andrew Pattison,USA
Sydney Indoor,1974-10-20,100087.0,John Newcombe,AUS
San Francisco,1974-09-23,100257.0,Ross Case,AUS
Barcelona,1974-10-14,100119.0,Ilie Nastase,ROU
Wimbledon,1974-06-24,100284.0,Jimmy Connors,USA
Tokyo,1974-10-13,100087.0,John Newcombe,AUS
Stockholm,1974-11-04,100074.0,Arthur Ashe,USA
Dublin,1974-07-14,100116.0,Sherwood Stewart,USA
Roanoke,1974-01-20,100284.0,Jimmy Connors,USA
Vienna,1974-10-28,100342.0,Vitas Gerulaitis,USA
